店舗名,電話番号,メールアドレス,都道府県,市区町村:,番地:,建物名:,URL:,SSL
くいもの屋わん池袋西口公園前店,050-5485-6398,,東京都,豊島区西池袋,1-10-8,サングロウビル4F,https://r.gnavi.co.jp/p864034/,False
樽虎,050-5488-5582,,東京都,台東区上野,4-8-9,OAKビル5F,https://r.gnavi.co.jp/dhpxwcry0000/,False
カジュアル鉄板 伊達,050-5487-3701,,東京都,千代田区丸の内,1-9-1,東京駅一番街2F,https://r.gnavi.co.jp/p2cbxryf0000/,False
全席個室 鮮や一夜八重洲店,050-5484-0403,,東京都,中央区日本橋,3-2-16,マスヤビル6F,https://r.gnavi.co.jp/gak5844/,False
銀座ライオン新宿エルタワー店,050-5485-6090,,東京都,新宿区西新宿,1-6-1,新宿エルタワーB2F,https://r.gnavi.co.jp/g112500/,False
大衆居酒屋 とりいちず 有楽町店,03-3286-5013,,東京都,千代田区丸の内,3-7-8,,https://r.gnavi.co.jp/be2zhv140000/,False
鳥元八丁堀店,050-5486-4037,,東京都,中央区八丁堀,2-26-9,グランデビル1F,https://r.gnavi.co.jp/g853122/,False
山内農場新宿西口駅前店,03-3342-3988,,東京都,新宿区西新宿,1-15-2,第5オムニクスビル4F,https://r.gnavi.co.jp/dxhskv1b0000/,False
浦島たろう,050-5493-7941,,東京都,千代田区神田三崎町,3-7-12,原田ビル4F,https://r.gnavi.co.jp/3dtsp2tp0000/,False
銀座方舟 大吟醸しずく店,050-5484-7224,,東京都,中央区銀座,8-8-8,GINZA888ビル6F,https://r.gnavi.co.jp/a318806/,False
新潟・佐渡の旬と地酒 のど黒のあくび 御徒町店,03-6284-4393,,東京都,台東区上野,5-25-8,御徒町グランディアビル1F～B1,https://r.gnavi.co.jp/a1vpgrs10000/,False
麻布しき 旗の台店,050-5492-8176,,東京都,品川区旗の台,3-11-6,いこいビル1F,https://r.gnavi.co.jp/7e5dk4ex0000/,False
菜な日本橋 コレド室町店,050-5485-1225,,東京都,中央区日本橋室町,2-2-1,コレド室町3F,https://r.gnavi.co.jp/g620622/,False
完全個室居酒屋 和食×おでんと炭火焼鳥さかじ総本店 市ヶ谷,050-5492-3380,,東京都,千代田区六番町,4-3,GEMS市ヶ谷4F,https://r.gnavi.co.jp/axu8y34k0000/,False
全席個室 湊一や日本橋八重洲店,050-5485-4716,,東京都,中央区日本橋,2-3-4,日本橋プラザビル2F,https://r.gnavi.co.jp/g493516/,False
上野の森スモークダイニングGAGA,050-5492-9842,,東京都,台東区上野,2-14-27,上野の森ファーストビル1F,https://r.gnavi.co.jp/5x2v9juj0000/,False
おでんと牛タン 完全個室居酒屋タンの利久 新橋店,050-5488-0826,,東京都,港区新橋,3-14-5,S'TEC3 6F,https://r.gnavi.co.jp/5922s03v0000/,False
刀削麺酒坊東京駅店,050-5494-7835,,東京都,千代田区丸の内,1-11-1,パシフィックセンチュリープレイス丸の内B1,https://r.gnavi.co.jp/etb1jg070000/,False
青龍門池袋店,050-5484-3885,seiryumon-ikebukuro@libraz.co.jp,東京都,豊島区南池袋,1-19-6,オリックス池袋ビルB1,https://r.gnavi.co.jp/e892400/,False
ピッツェリア・マルデナポリ大泉学園店,050-5488-3622,,東京都,練馬区大泉学園町,1-2-9,,https://r.gnavi.co.jp/1xs3n7yv0000/,False
キリンシティヤエチカ店,050-5486-3110,,東京都,中央区八重洲,2-1,八重洲地下街南1号,https://r.gnavi.co.jp/gckh603/,False
個室居酒屋四季彩 ‐Shikisai‐ 八重洲店,050-5492-4544,,東京都,中央区日本橋,3-4-15,八重洲通ビルヂングB1,https://r.gnavi.co.jp/s6wp3mku0000/,False
全席個室 楽蔵‐RAKUZO‐日暮里店,050-5484-2905,,東京都,荒川区西日暮里,2-17-6,日暮里サンシャインビル2F,https://r.gnavi.co.jp/g493533/,False
個室×沖縄料理 くわっちー新宿店,050-5486-0527,,東京都,新宿区新宿,3-11-11,ダイアン新宿ビル5F,https://r.gnavi.co.jp/b934300/,False
ESOLA（エソラ）グリーンスプリングス店,050-5488-0761,,東京都,立川市緑町,3-1,グリーンスプリングス1F,https://r.gnavi.co.jp/jfex1hw00000/,False
Ｐ．Ｃ．Ｍ．Pub Cardinal Marunouchi,050-5485-9591,,東京都,千代田区丸の内,2-7-3,東京ビルTOKIA1F,https://r.gnavi.co.jp/a634203/,False
XEX TOKYO,050-5487-3916,,東京都,千代田区丸の内,1-9-1,大丸東京店13F,https://r.gnavi.co.jp/4uf21jes0000/,False
完全個室 厳選マグロと海鮮居酒屋赤羽魚群屋 赤羽本店,050-5488-2619,,東京都,北区赤羽南,1-8-5,3F,https://r.gnavi.co.jp/b97rkcd90000/,False
