店舗名,電話番号,メールアドレス,都道府県,市区町村,番地,建物名,URL,SSL
おでん酒場 あっかんべー,050-5485-7068,,神奈川県,逗子市逗子,5-1-12,カサハラビル逗子B棟3F,https://gcv4400.gorp.jp/,False
創作おでん 和さび 水道橋店,050-5485-6670,,東京都,千代田区三崎町,2-14-6,T.M.水道橋ビル,https://wasabi-suidoubashi.gorp.jp/,False
炭火焼鳥 おでん 雅,050-5493-1451,,東京都,墨田区江東橋,4-20-13,山田ビル1F,https://gb49400.gorp.jp/,False
おでんと庭先地鶏 はれ晴れ 川崎東口本店,050-5484-1696,,神奈川県,川崎市川崎区小川町,2-9,2F,https://g843100.gorp.jp/,False
串揚げ・おでん 雑草家,050-5486-1833,,愛知県,名古屋市中区錦,3-24-12,玉水ビルB1,https://n038609.gorp.jp/,False
北新地　鯨料理とおでん 新どおぞの,050-5492-5184,,大阪府,大阪市北区曽根崎新地,1-5-9,REXビル3F,https://k342601.gorp.jp/,False
大坂おでん 焼とん 久 グランフロント大阪店,050-5484-9462,,大阪府,大阪市北区大深町,4-20,グランフロント大阪 南館7F,https://osakaodenkyu.gorp.jp/,False
串揚げと味噌おでん なにがしはなれ 豊田市駅前店,050-5484-6740,mailto:center@human-direct.co.jp,愛知県,豊田市若宮町,1-8-7,,https://n166815.gorp.jp/,False
おでんと和食と時々チーズ 汁いち 横浜店,050-5484-6970,,神奈川県,横浜市神奈川区鶴屋町,2-13-11,,https://shiruichi.gorp.jp/,False
海鮮料理とおでん居酒屋 侘助 ‐わびすけ‐ 虎ノ門,050-5487-4657,,東京都,港区虎ノ門,3-4-7,虎ノ門36森ビルB1,https://g075310.gorp.jp/,False
名物串おでんと土鍋飯 完全個室 てふてふ 上野店,050-5484-2688,,東京都,台東区上野,4-9-6,ナガフジビル5F,https://g725427.gorp.jp/,False
大阪おでん・どて焼 ひとくち,06-6361-9048,,大阪府,大阪市北区西天満,4-5-25,,https://c098700.gorp.jp/,False
おでん家 万昌 ざっくばらん,050-5484-5879,,埼玉県,さいたま市大宮区宮町,1-33,金久保ビル1F,https://odenyabansyou-zakkubaran.gorp.jp/,False
一年中おでん屋 はなび,050-5486-6084,,茨城県,つくば市東新井,18-3,,https://hanabi-tsukuba.gorp.jp/,False
蛸焼とおでん 友の,050-5492-9050,,大阪府,大阪市浪速区難波中,1-8-13,,https://kbwt823.gorp.jp/,False
おでんと肴 トクコ,050-5484-3091,,東京都,品川区北品川,5-6-1,大崎ブライトタワー1F,https://gee7300.gorp.jp/,False
しぞーかおでん お茶の間,050-5488-1717,,福島県,福島市陣場町,8-16,,https://ta38200.gorp.jp/,False
串焼とおでん善丸,050-5486-7141,,新潟県,新潟市中央区弁天,1-2-21,INGビル2F,https://r342803.gorp.jp/,False
焼とり・おでん 大ちゃん 御徒町店,050-5486-5864,,東京都,台東区上野,5-25-7,,https://a045224.gorp.jp/,False
焼き鳥と創作おでん 博多とりくら 天神春吉店,050-5492-4820,,福岡県,福岡市中央区春吉３丁目,12-24-2,,https://fbvn000.gorp.jp/,False
静岡おでんガッツ,050-5484-9296,,東京都,新宿区高田馬場,2-19-8,阿部ビル1F,https://gdkj600.gorp.jp/,False
串かつ・おでん　味のたぬきや,050-5485-4627,,大阪府,大阪市北区曾根崎,2-10-14,,https://ke3t312.gorp.jp/,False
